id,price,address,bed,bath,type
279,3900,2,3,2,Apartment
280,2050,15,2,2,House
281,2350,15,3,3,House
282,2500,15,4,3,House
283,1750,8,1,1,Apartment
284,2450,2,1,1,Apartment
285,1750,18,1,2,Apartment
286,2150,18,2,2,Apartment
287,3250,5,3,2,House
288,2000,6.5,1,1,Apartment
289,2325,6.5,2,2,Apartment
290,3000,6.5,3,2,Apartment
291,1900,18,1,1,Apartment
292,2450,18,2,2,Apartment
293,3000,2,2,2,Apartment
294,6000,2,3,3,Apartment
295,3200,18,3,2,Apartment
296,2150,6,1,1,Apartment
297,2700,6,2,2,Apartment
298,2050,8,1,1,Apartment
299,3650,2,2,2,Apartment
300,3750,2,2,2,Apartment
301,2750,19,2,2,Apartment
302,3300,2,2,2,Apartment
303,4200,2,2,2,Apartment
304,4230,2,3,2,Apartment
305,2500,1,1,1,Apartment
306,3245,1,2,2,Apartment
307,3575,1,2,2,Apartment
308,2000,19,1,1,Apartment
309,2335,19,2,2,Apartment
310,2850,19,3,2,Apartment
311,1900,9,1,1,Apartment
312,2250,9,2,2,Apartment
313,3045,9,3,3,Apartment
314,2000,6,1,1,Apartment
315,2400,6,2,2,Apartment
316,3200,6,3,2,Apartment
317,2450,2,1,1,Apartment
318,2900,2,2,2,Apartment
319,3900,2,3,2,Apartment
320,3150,2,2,2,Apartment
321,3572,2,2,2,Apartment
322,4000,2,2,2,Apartment
323,2050,15,2,2,House
324,2350,15,3,3,House
325,2500,15,4,3,House
326,1750,8,1,1,Apartment
327,2450,2,1,1,Apartment
328,1750,18,1,2,Apartment
329,2150,18,2,2,Apartment
330,3250,5,3,2,House
331,2000,6.5,1,1,Apartment
332,2325,6.5,2,2,Apartment
333,3000,6.5,3,2,Apartment
334,1900,18,1,1,Apartment
335,2450,18,2,2,Apartment
336,3000,2,2,2,Apartment
337,6000,2,3,3,Apartment
338,3200,18,3,2,Apartment
339,2150,6,1,1,Apartment
340,2700,6,2,2,Apartment
341,2050,8,1,1,Apartment
342,3650,2,2,2,Apartment
343,3750,2,2,2,Apartment
344,2750,19,2,2,Apartment
345,3300,2,2,2,Apartment
346,4200,2,2,2,Apartment
347,4230,2,3,2,Apartment
348,2500,1,1,1,Apartment
349,3245,1,2,2,Apartment
350,3575,1,2,2,Apartment
351,2000,19,1,1,Apartment
352,2335,19,2,2,Apartment
353,2850,19,3,2,Apartment
354,1900,9,1,1,Apartment
355,2250,9,2,2,Apartment
356,3045,9,3,3,Apartment
357,2000,6,1,1,Apartment
358,2400,6,2,2,Apartment
359,3200,6,3,2,Apartment
360,2450,2,1,1,Apartment
361,2900,2,2,2,Apartment
362,3900,2,3,2,Apartment
363,3150,2,2,2,Apartment
364,3572,2,2,2,Apartment
365,4000,2,2,2,Apartment
366,2050,15,2,2,House
367,2350,15,3,3,House
368,2500,15,4,3,House
