id,price,address,bedroom,bathroom,area
130,"€1,175,000","10 Barnhill Grove, Barnhill Road, Dalkey, Co. Dublin",2 Bed,3 Bath,120 m²
131,"€6,900,000","Mount Alverno, Sorrento Road, Dalkey, Co. Dublin",1 Bath,5 Bath,75 m²
132,"€1,190,000","2 Monaloe Crescent, Blackrock, Co. Dublin",57 m²,2 Bath,66 m²
133,"€255,000","35 Linnetfields Square, Clonee, Dublin 15",4 Bed,1 Bath,126 m²
134,"€425,000","34 Gordon Street, Ringsend, Ringsend, Dublin 4",3 Bath,2 Bath,288 m²
135,"€470,000","2a Dartmouth Place, Ranelagh, Dublin 6",1 Bed,1 Bath,76 m²
136,LAST 5 BEDROOM SHOW HOUSE REMAINING AT ST PAULS SQUARE,"61 Flower Grove, Glenageary, Co. Dublin",1 Bath,2 Bath,
137,"€695,000","16 Mellifont Avenue, Dun Laoghaire, Co. Dublin",46 m²,3 Bath,
138,"€1,375,000","8 Chancery Court, Chancery Lane, Dublin 8",3 Bed,2 Bath,
139,"€395,000",,2 Bath,,
140,Price on Application,,92 m²,,
141,"€1,100,000","394 Griffith Avenue, Drumcondra, Dublin 9",5 Bed,1 Bath,187 m²
142,"€355,000","9 Bramblefield Walk, Clonee, Dublin 15",1 Bath,3 Bath,92 m²
143,"€575,000","1 Dodderbrook View, Ballycullen, Dublin 24",187 m²,3 Bath,146 m²
144,"€285,000","Apartment 72, Brooklawn, Clontarf, Dublin 3",3 Bed,1 Bath,53 m²
145,"€545,000","24 Kingston Rise, Ballinteer, Ballinteer, Dublin 16",3 Bath,1 Bath,86 m²
146,"€295,000","Apartment 9, Richmond Square, Morning Star Avenue, Dublin 7",92 m²,1 Bath,65 m²
147,Coming Soon - Contemporary Apartments and Penthouses,"19 Cloncurry House, Spencer Dock, IFSC, Dublin 1",4 Bed,2 Bath,74 m²
148,"€450,000","13 Keane Hall, Collegewood, Castleknock, Dublin 15",3 Bath,2 Bath,125 m²
149,"€450,000","Kellys Newsagent, 20 Main Street, Chapelizod, Dublin 20",146 m²,2 Bath,62 m²
150,"€845,000","199 Boulevard, Mount Eustace, Tyrrelstown, Dublin 15",1 Bed,4 Bath,183 m²
151,"AMV: €230,000","12 Hogan Square, Hogan Place, Dublin 2",1 Bath,1 Bath,169 m²
152,"€350,000","5 Le Bas Terrace, Leinster Road West, Rathmines, Dublin 6",53 m²,3 Bath,90 m²
153,"€1,150,000","Apartment 3, Eaton Brae House, Eaton Brae, Shankill, Dublin 18",3 Bed,2 Bath,78 m²
154,Price on Application,"Apartment 21, Temple Hall, Milltown Avenue, Mount Saint Annes, Milltown, Dublin 6",1 Bath,2 Bath,145 m²
155,"€595,000","46 Juliet Square, St Edmunds Park, Lucan, Co. Dublin",86 m²,2 Bath,127 m²
156,"€275,000","64 Manor Street, Dublin 7",2 Bed,2 Bath,63 m²
157,"€695,000","228 Phibsborough Road, Phibsborough, Dublin 7",1 Bath,2 Bath,97 m²
158,"€549,000","31A Loreto Park, Rathfarnham, Dublin 14",65 m²,1 Bath,
159,"€450,000","51 Oakton Park, Ballybrack, Co. Dublin",2 Bed,2 Bath,
160,"€445,000",,2 Bath,,
161,"€795,000","18 Merton Walk Mount St Anneâ€™s Milltown Dublin 6, Milltown, Dublin 6",3 Bed,3 Bath,142 m²
162,"€395,000","1A Holycross Avenue, Drumcondra, Dublin 3",3 Bath,1 Bath,52 m²
